[[46.4782,46.936],
[51.4885,51.4885],
[52.9925,52.9923],
[48.5115,48.5115],
[47.0077,47.0077],
[51.4885,51.4885],
[52.9923,52.9923],
[48.5115,48.5115],
[47.0077,47.0077],
[51.4885,51.4885],
[52.9923,52.9923],
[48.5115,48.5115],
[47.0077,47.0077],
[51.4885,51.4885],
[52.9923,52.9923],
[48.5115,48.5115],
[47.0077,47.0077],
[51.4885,51.4885],
[52.9923,52.9923],
[48.5115,48.5115],
[47.0077,47.0077],
[51.4885,51.4885],
[52.9923,52.9923],
[48.5115,48.5115],
[47.0077,47.0077],
[51.4885,51.4885],
[52.9923,52.9923],
[48.5115,48.5115],
[47.0077,47.0077],
[51.4885,51.4885],
[52.9923,52.9923],
[48.5115,48.5115],
[47.0077,47.0077],
[51.4885,51.4885],
[52.9923,52.9923],
[48.5115,48.5115],
[47.0077,47.0077],
[51.4885,51.4885],
[52.9923,52.9923],
[48.5115,48.5115],
[47.0077,47.0077],
[51.4885,51.4885],
[52.9923,52.9923],
[48.5115,48.5115],
[47.0077,47.0077],
[51.4885,51.4885],
[52.9923,52.9923],
[48.5115,48.5115],
[47.0077,47.0077],
[51.4885,51.4885],
[52.9923,52.9923],
[48.5115,48.5115],
[47.0077,47.0077],
[51.4885,51.4885],
[52.9923,52.9923],
[48.5115,48.5115],
[47.0077,47.0077],
[51.4885,51.4885],
[52.9923,52.9923],
[48.5115,48.5115],
[47.0077,47.0077],
[51.4885,51.4885],
[52.9923,52.9923],
[48.5115,48.5115],
[47.0077,47.0077],
[51.4885,51.4885],
[52.9923,52.9923],
[48.5115,48.5115],
[47.0077,47.0077],
[51.4885,51.4885],
[52.9923,52.9923],
[48.5115,48.5115],
[47.0077,47.0077],
[51.4885,51.4885],
[52.9923,52.9923],
[48.5115,48.5115],
[47.0077,47.0077],
[51.4885,51.4885],
[52.9923,52.9923],
[48.5115,48.5115],
[47.0077,47.0077],
[51.4885,51.4885],
[52.9923,52.9923],
[48.5115,48.5115],
[47.0077,47.0077],
[51.4885,51.4885],
[52.9923,52.9923],
[48.5115,48.5115],
[47.0077,47.0077],
[51.4885,51.4885],
[52.9923,52.9923],
[48.5115,48.5115],
[47.0077,47.0077],
[51.4885,51.4885],
[52.9923,52.9923],
[48.5115,48.5115],
[47.0077,47.0077],
[51.4885,51.4885],
[52.9923,52.9923],
[138.802,138.802],
[106.783,106.977],
[111.489,111.489],
[112.992,112.992],
[108.511,108.511],
[107.008,107.008],
[111.489,111.489],
[112.992,112.992],
[108.511,108.511],
[107.008,107.008],
[111.489,111.489],
[112.992,112.992],
[108.511,108.511],
[107.008,107.008],
[111.489,111.489],
[112.992,112.992],
[108.511,108.511],
[107.008,107.008],
[111.489,111.489],
[112.992,112.992],
[108.511,108.511],
[107.008,107.008],
[111.489,111.489],
[112.992,112.992],
[108.511,108.511],
[107.008,107.008],
[111.489,111.489],
[112.992,112.992],
[108.511,108.511],
[107.008,107.008],
[111.489,111.489],
[112.992,112.992],
[108.511,108.511],
[107.008,107.008],
[111.489,111.489],
[112.992,112.992],
[108.511,108.511],
[107.008,107.008],
[111.489,111.489],
[112.992,112.992],
[108.511,108.511],
[107.008,107.008],
[111.489,111.489],
[112.992,112.992],
[108.511,108.511],
[107.008,107.008],
[111.489,111.489],
[112.992,112.992],
